0	1 4	1 32
1	2 33	2 122
2	3 105	3 300
3	2 193	2 1321
4	2 291	2 2845
5	3 443	3 6180
6	4 541	4 12322
7	4 973	4 21621
8	4 1254	4 35814
9	3 1918	3 47951
10	4 2147	4 70029
11	4 3349	4 95993
12	4 6636	4 132608
13	4 7445	4 181804
14	5 7962	5 233780
15	5 11601	5 294876
16	5 13992	5 370249
17	6 20762	6 478677
18	5 17056	4 532056
19	5 23771	5 646968
20	5 30969	5 782058
21	6 28431	5 948281
22	6 48923	6 1159177
23	5 58597	5 1346785
24	6 53864	6 1588272
25	5 62584	5 1832996
26	6 96727	6 2169189
27	6 91711	6 2592746
28	7 171288	7 3126411
29	7 180771	7 3748006
30	7 255469	6 4313432
31	6 197145	5 4940142
32	6 257553	6 5604846
33	7 265256	6 6254534
34	7 346093	6 6955189
35	6 554652	6 8620662
36	7 350098	6 9382039
37	7 477169	7 10270920
38	7 536593	6 10767080
39	6 822130	6 13023514
40	7 718902	6 14124327
41	7 1208001	6 15575452
42	7 1127261	7 17146704
43	7 1260021	7 21214760
44	7 1737996	6 22227499
45	7 1154177	7 24427408
46	7 2912900	7 29063691
47	7 2487912	7 33851308
48	7 2164617	7 41286688
49	8 2085201	7 44088702
50	8 2922539	7 46579536
51	8 3762474	7 49100976
52	8 2968203	8 56591908
53	8 4384550	8 63683810
54	8 7017397	7 68239033
55	8 6644689	8 72677628
56	8 6632664	7 81518866
57	9 7067810	7 86486259
58	8 8947062	8 102854764
59	8 6706860	8 114273195
60	8 8724272	8 124894167
61	8 9672907	8 136979718
62	9 9173659	8 143979227
63	8 16815929	8 158443403
64	8 10748041	8 171832538
65	7 15980485	7 183832418
66	8 11816969	7 192085032
67	8 17630611	8 200776762
68	8 15230149	7 209315616
69	9 18418627	8 226520752
70	8 22168410	8 245430162
71	8 19791233	7 256239106
72	8 25170585	8 275512043
73	9 29404654	9 301130543
74	9 29205129	9 321656285
75	8 44088227	8 344258120
76	9 29830566	9 388338443
77	9 34493272	8 409040712
78	8 37618982	8 430453563
79	9 40658988	9 448900854
80	9 54332813	9 475267261
81	9 56112523	9 508021587
82	9 47516247	8 533214869
83	9 74570149	9 565492535
84	9 48366410	8 586267916
85	8 62746265	8 620657918
86	10 69675436	9 653335242
87	9 84142353	9 685648133
88	9 77873840	8 709959165
89	11 85919756	9 736844624
90	9 91777749	9 788394056
91	9 100099851	8 809996322
92	9 128354356	9 883651066
93	9 125434100	9 925369086
94	10 153340205	10 1007573718
95	9 150988103	9 1068886515
96	9 155130490	9 1146059125
97	9 136738495	9 1214065790
98	9 149140349	9 1264944642
