0	1 4	1 32
1	2 33	2 122
2	3 105	3 300
3	2 193	2 1019
4	2 291	2 2036
5	3 443	3 3629
6	4 541	4 6000
7	4 973	4 9041
8	4 1254	4 12784
9	3 1918	3 17558
10	4 2147	4 27082
11	4 3349	4 35636
12	4 6636	4 45183
13	4 7445	4 59753
14	5 7962	5 73331
15	5 11601	5 88138
16	5 13992	5 104583
17	6 20762	6 125692
18	5 17056	4 150388
19	5 23771	5 177497
20	5 30969	5 205590
21	6 28431	5 237861
22	6 48923	6 278028
23	5 58597	5 329192
24	6 53864	6 394187
25	5 62584	5 440357
26	6 96727	6 513333
27	6 91711	6 596385
28	7 171288	7 663514
29	7 180771	7 792434
30	7 255469	6 886351
31	6 197145	5 983153
32	6 257553	6 1088271
33	7 265256	6 1189289
34	7 346093	6 1301153
35	6 554652	5 1400269
36	7 350098	6 1524173
37	7 477169	7 1679809
38	7 536593	6 1805620
39	6 822130	5 1952210
40	7 718902	6 2127223
41	7 1208001	6 2318688
42	7 1127261	7 2535613
43	7 1260021	6 2737652
44	7 1737996	6 2941966
45	7 1154177	7 3185770
46	7 2912900	6 3408522
47	7 2487912	6 3655384
48	7 2164617	5 3861807
49	8 2085201	7 4197820
50	8 2922539	7 4535708
51	8 3762474	7 4927136
52	8 2968203	6 5271723
53	8 4384550	8 6736014
54	8 7017397	7 7289585
55	8 6644689	8 7813563
56	8 6632664	6 8208425
57	9 7067810	7 8725917
58	8 8947062	6 9178211
59	8 6706860	7 10554224
60	8 8724272	8 12135249
61	8 9672907	7 13596869
62	9 9173659	8 14400259
63	8 16815929	7 15088260
64	8 10748041	7 15911559
65	7 15980485	6 16638875
66	8 11816969	7 17398941
67	8 17630611	8 18460239
68	8 15230149	7 19306423
69	9 18418627	8 21476139
70	8 22168410	6 22426259
71	8 19791233	7 23710320
72	8 25170585	7 24814208
73	9 29404654	8 26272857
74	9 29205129	7 27373671
75	8 44088227	7 28526047
76	9 29830566	7 30060845
77	9 34493272	8 32894462
78	8 37618982	8 35461917
79	9 40658988	9 37555727
80	9 54332813	8 39762513
81	9 56112523	8 43019995
82	9 47516247	7 44664927
83	9 74570149	6 46112273
84	9 48366410	8 48386981
85	8 62746265	7 50306042
86	10 69675436	7 52453884
87	9 84142353	8 56745232
88	9 77873840	8 59028003
89	11 85919756	9 61767341
90	9 91777749	7 63979617
91	9 100099851	8 66516212
92	9 128354356	7 68770193
93	9 125434100	7 70852905
94	10 153340205	8 73561023
95	9 150988103	7 75871836
96	9 155130490	7 78365439
97	9 136738495	7 81074109
98	9 149140349	8 84298858
